idx,test_num,input_path,rc,wall_s,lines_total,lines_covered,line_rate,funcs_total,funcs_covered,func_rate
4,1,examples/SPIN/dipole_spin/in.spin.iron_dipole_cut,0,35,0,0,0.0,0,0,0.0
4,2,examples/SPIN/dipole_spin/in.spin.iron_dipole_ewald,0,44,0,0,0.0,0,0,0.0
4,3,examples/SPIN/dipole_spin/in.spin.iron_dipole_pppm,0,43,0,0,0.0,0,0,0.0
4,4,examples/SPIN/iron/in.spin.iron,0,17,0,0,0.0,0,0,0.0
4,5,examples/SPIN/iron/in.spin.iron_cubic,0,18,0,0,0.0,0,0,0.0
4,6,examples/SPIN/nickel/in.spin.nickel,0,22,0,0,0.0,0,0,0.0
4,7,examples/SPIN/nickel/in.spin.nickel_cubic,0,22,0,0,0.0,0,0,0.0
4,8,examples/SPIN/read_restart/in.spin.write_restart,0,18,0,0,0.0,0,0,0.0
4,9,examples/SPIN/spinmin/in.spin.bfo_min,0,34,0,0,0.0,0,0,0.0
4,10,examples/SPIN/spinmin/in.spin.bfo_min_cg,0,35,0,0,0.0,0,0,0.0
4,11,examples/SPIN/spinmin/in.spin.bfo_min_lbfgs,0,15,0,0,0.0,0,0,0.0
4,12,examples/SPIN/spinmin/in.spin.iron_min,0,15,0,0,0.0,0,0,0.0
4,13,examples/SPIN/test_problems/validation_nve/in.spin.iron-nve,0,24,0,0,0.0,0,0,0.0
4,14,examples/UNITS/in.ar.lj,0,14,0,0,0.0,0,0,0.0
4,15,examples/UNITS/in.ar.metal,0,14,0,0,0.0,0,0,0.0
4,16,examples/UNITS/in.ar.real,0,15,0,0,0.0,0,0,0.0
4,17,examples/VISCOSITY/in.mp.2d,0,33,0,0,0.0,0,0,0.0
4,18,examples/VISCOSITY/in.nemd.2d,0,44,0,0,0.0,0,0,0.0
4,19,examples/VISCOSITY/in.wall.2d,0,44,0,0,0.0,0,0,0.0
4,20,examples/airebo/in.airebo-0-0,0,31,0,0,0.0,0,0,0.0
4,21,examples/airebo/in.rebo2,0,32,0,0,0.0,0,0,0.0
4,22,examples/amoeba/in.ubiquitin,0,44,0,0,0.0,0,0,0.0
4,23,examples/amoeba/in.water_box.amoeba,0,44,0,0,0.0,0,0,0.0
4,24,examples/amoeba/in.water_box.hippo,0,32,0,0,0.0,0,0,0.0
4,25,examples/amoeba/in.water_dimer.amoeba,0,14,0,0,0.0,0,0,0.0
4,26,examples/amoeba/in.water_dimer.hippo,0,15,0,0,0.0,0,0,0.0
4,27,examples/amoeba/in.water_hexamer.amoeba,0,14,0,0,0.0,0,0,0.0
4,28,examples/amoeba/in.water_hexamer.hippo,0,14,0,0,0.0,0,0,0.0
4,29,examples/atm/in.atm,0,44,0,0,0.0,0,0,0.0
4,30,examples/balance/in.balance,0,16,0,0,0.0,0,0,0.0
4,31,examples/balance/in.balance.bond.fast,0,17,0,0,0.0,0,0,0.0
4,32,examples/balance/in.balance.bond.slow,0,18,0,0,0.0,0,0,0.0
4,33,examples/balance/in.balance.clock.dynamic,0,44,0,0,0.0,0,0,0.0
4,34,examples/balance/in.balance.clock.static,0,29,0,0,0.0,0,0,0.0
4,35,examples/balance/in.balance.group.dynamic,0,21,0,0,0.0,0,0,0.0
4,36,examples/balance/in.balance.group.static,0,19,0,0,0.0,0,0,0.0
4,37,examples/balance/in.balance.kspace,0,34,0,0,0.0,0,0,0.0
4,38,examples/balance/in.balance.neigh.dynamic,0,44,0,0,0.0,0,0,0.0
4,39,examples/balance/in.balance.neigh.rcb,0,24,0,0,0.0,0,0,0.0
4,40,examples/balance/in.balance.neigh.static,0,38,0,0,0.0,0,0,0.0
4,41,examples/balance/in.balance.var.dynamic,0,45,0,0,0.0,0,0,0.0
4,42,examples/body/in.body,0,17,0,0,0.0,0,0,0.0
4,43,examples/body/in.pour3d,0,16,0,0,0.0,0,0,0.0
4,44,examples/body/in.squares,0,27,0,0,0.0,0,0,0.0
4,45,examples/body/in.wall2d,0,23,0,0,0.0,0,0,0.0
4,46,examples/bpm/impact/in.bpm.impact.spring,0,44,0,0,0.0,0,0,0.0
4,47,examples/charmmfsw/in.charmmfsw,0,44,0,0,0.0,0,0,0.0
4,48,examples/cmap/in.cmap,0,18,0,0,0.0,0,0,0.0
4,49,examples/colloid/in.colloid,0,34,0,0,0.0,0,0,0.0
4,50,examples/comb/in.comb.Cu,0,15,0,0,0.0,0,0,0.0
4,51,examples/comb/in.comb.Cu2O.elastic,0,45,0,0,0.0,0,0,0.0
4,52,examples/comb/in.comb.HfO2,0,26,0,0,0.0,0,0,0.0
4,53,examples/comb/in.comb.Si,0,14,0,0,0.0,0,0,0.0
4,54,examples/comb/in.comb.Si.elastic,0,16,0,0,0.0,0,0,0.0
4,55,examples/comb/in.comb3,0,42,0,0,0.0,0,0,0.0
4,56,examples/controller/in.controller.temp,0,40,0,0,0.0,0,0,0.0
4,57,examples/controller/in.controller.wall,0,45,0,0,0.0,0,0,0.0
