run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_suite_size_at_80cov,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_suite_size_at_90cov,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_suite_size_at_95cov,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_second_suite_size_at_100cov,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_suite_size_at_80cov,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_suite_size_at_90cov,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_suite_size_at_95cov,greedy_cov_per_joule_energy_to_100cov_J,greedy_cov_per_joule_suite_size_at_100cov
19507555767,4772,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19507496321,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19489332980,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19489190709,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19486737872,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19486721029,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19484284451,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19484211538,4768,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19469799854,4780,22,ok,22,65399.76263333336,65399.76263333336,65399.76263333336,65399.76263333336,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0
19468304066,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19468280212,4779,8,ok,8,37726.47956666667,37726.47956666667,37726.47956666667,37726.47956666667,225.589,2.0,225.589,2.0,225.589,2.0,225.589,2.0,220.504,2.0,220.504,2.0,220.504,2.0,220.504,2.0
19463085571,4780,22,ok,22,65399.76263333336,65399.76263333336,65399.76263333336,65399.76263333336,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0
19458252605,4780,22,ok,22,65399.76263333336,65399.76263333336,65399.76263333336,65399.76263333336,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0,1025.16,1.0
19457736493,4776,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19452231152,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19450655467,154,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19447188560,4775,6,ok,6,101510.86050000002,101510.86050000002,101510.86050000002,101510.86050000002,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0,139.293,1.0
19443482796,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
19443096702,4776,0,skip_no_changed_lines,0,,,,,,,,,,,,,,,,,,,,
19441313026,4777,22,ok,22,98413.85886666669,98413.85886666669,98413.85886666669,114448.63686666671,124.345,1.0,124.345,1.0,124.345,1.0,239.547,2.0,124.345,1.0,124.345,1.0,124.345,1.0,238.56099999999998,2.0
