Coverage target,Energy fraction median,Energy fraction p10,Energy fraction p90
80%,0.03826078830756448,0.029113400755214076,0.09782664922222602
90%,0.03843345505671952,0.029113400755214076,0.0992251624037748
95%,0.038526068909244975,0.029113400755214076,0.10526076798946274
