Coverage target,Savings median (%),Savings p10 (%),Savings p90 (%),Savings max (%),Savings mean (%)
80%,96.17392116924354,90.21733507777739,97.08865992447859,97.73935402519199,-27417900.073950138
90%,96.15665449432804,90.07748375962252,97.08865992447859,97.73935402519199,-28683346.08608402
95%,96.14739310907551,89.47392320105372,97.08865992447859,97.73935402519199,-31214238.164901376
