run_id,pr_number,changed_lines_mapped,coverable_changed_lines,max_change_cov,pareto_points,status,energy_j_at_80pct,suite_size_at_80pct,energy_j_at_90pct,suite_size_at_90pct,energy_j_at_95pct,suite_size_at_95pct
13317934262,4470,8,8,1.0,1,ok,23600.914,149.0,23600.914,149.0,23600.914,149.0
13315757187,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13303295779,4470,8,8,1.0,1,ok,23600.914,149.0,23600.914,149.0,23600.914,149.0
13299561693,4470,8,8,1.0,1,ok,23600.914,149.0,23600.914,149.0,23600.914,149.0
13299343869,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13296531873,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13295291271,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13294271870,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13290420494,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13272848136,4470,8,8,1.0,1,ok,23600.914,149.0,23600.914,149.0,23600.914,149.0
13271858959,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13269112155,4462,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13265168133,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13264946909,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13264714419,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13263155816,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13255493073,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13252111038,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13247727735,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13246635275,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13233942775,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13232929794,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13231450943,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13227983733,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13227078759,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13227014905,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13226829297,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13225992531,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13225810159,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13222986072,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13222123769,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13220253310,4468,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13217635711,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13217567553,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13216363203,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13211632731,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13199938783,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13195259957,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13191612967,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13186892204,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13186335814,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13182119533,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13180200270,4467,81,81,1.0,1,ok,28451.263,185.0,28451.263,185.0,28451.263,185.0
13172293395,4466,29,29,1.0,1,ok,24137.371,170.0,24137.371,170.0,24137.371,170.0
13146500562,4462,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13146345722,4462,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13127892142,4461,2,2,1.0,1,ok,26864.694000000003,158.0,26864.694000000003,158.0,26864.694000000003,158.0
13124057398,4456,457,457,0.949671772428884,19,ok,45613.398,231.0,45613.398,231.0,49188.306,237.0
13122468753,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13100600572,4454,12,12,1.0,1,ok,25424.108,167.0,25424.108,167.0,25424.108,167.0
13095564111,4213,112,112,1.0,1,ok,28867.869,170.0,28867.869,170.0,28867.869,170.0
13095257660,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13093179251,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13092170351,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13090369964,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13089404853,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13087452614,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13086586700,4454,12,12,1.0,1,ok,25424.108,167.0,25424.108,167.0,25424.108,167.0
13086322284,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13085193727,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13085131277,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13084498677,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13084158307,4459,73,73,1.0,3,ok,34219.68,193.0,34219.68,193.0,34219.68,193.0
13080800162,4456,457,457,0.949671772428884,19,ok,45613.398,231.0,45613.398,231.0,49188.306,237.0
13080661297,4456,457,457,0.949671772428884,19,ok,45613.398,231.0,45613.398,231.0,49188.306,237.0
13080189676,4456,457,457,0.949671772428884,19,ok,45613.398,231.0,45613.398,231.0,49188.306,237.0
13075658015,4454,12,12,1.0,1,ok,25424.108,167.0,25424.108,167.0,25424.108,167.0
13073333989,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
13073093173,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
13070823856,4415,29,29,1.0,1,ok,25907.081,149.0,25907.081,149.0,25907.081,149.0
13070062841,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
13047196818,4380,25,25,1.0,1,ok,30171.822,189.0,30171.822,189.0,30171.822,189.0
13023602946,4310,298,298,1.0,1,ok,27669.802,180.0,27669.802,180.0,27669.802,180.0
13023227958,4424,1,1,1.0,1,ok,24783.57,175.0,24783.57,175.0,24783.57,175.0
13018313485,4310,298,298,1.0,1,ok,27669.802,180.0,27669.802,180.0,27669.802,180.0
13017105694,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
13015846364,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
13008835090,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
13002118863,4380,25,25,1.0,1,ok,30171.822,189.0,30171.822,189.0,30171.822,189.0
12999385791,4409,2,2,1.0,1,ok,24270.799,164.0,24270.799,164.0,24270.799,164.0
12996789412,4380,25,25,1.0,1,ok,30171.822,189.0,30171.822,189.0,30171.822,189.0
12995223188,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12994995534,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12994680438,4380,25,25,1.0,1,ok,30171.822,189.0,30171.822,189.0,30171.822,189.0
12981093706,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12970780601,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
12968805500,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
12968760267,4453,48,48,1.0,2,ok,27165.782,162.0,27165.782,162.0,27165.782,162.0
12967615238,4182,22,22,1.0,1,ok,29758.621,180.0,29758.621,180.0,29758.621,180.0
12961182549,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12942715200,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
12941482077,4440,35,35,1.0,1,ok,26336.753000000004,168.0,26336.753000000004,168.0,26336.753000000004,168.0
