run_id,pr_number,energy_j,change_cov,suite_size
13868149696,4501,43744.662000000004,0.9198218262806236,230
13868149696,4501,44533.862,0.9242761692650334,233
13868149696,4501,44586.557,0.9287305122494433,238
13868149696,4501,44781.386,0.9376391982182628,238
13868149696,4501,46341.175,0.9398663697104677,236
13868149696,4501,46382.197,0.9443207126948775,236
13868149696,4501,46642.219,0.9532293986636972,230
13868149696,4501,46724.316999999995,0.9621380846325167,236
13868149696,4501,50603.846,0.9665924276169265,236
13868149696,4501,51721.479,0.9688195991091314,243
13868149696,4501,51773.956000000006,0.9732739420935412,244
13868149696,4501,54964.156,0.9866369710467706,245
13868149696,4501,60740.981,0.9888641425389755,252
13868149696,4501,64264.104999999996,0.9910913140311804,268
