run_id,pr_number,energy_j,change_cov,suite_size
14295681708,4532,9561.920999999998,0.8269230769230769,76
14295681708,4532,9842.563,0.8365384615384616,77
14295681708,4532,10146.786,0.9038461538461539,77
14295681708,4532,10427.428,0.9134615384615384,78
14295681708,4532,11159.001,0.9230769230769231,78
14295681708,4532,11171.946,0.9326923076923077,78
14295681708,4532,11452.588,0.9423076923076923,79
14295681708,4532,12184.161,0.9519230769230769,79
14295681708,4532,12464.803,0.9615384615384616,80
14295681708,4532,13396.465999999999,0.9711538461538461,80
14295681708,4532,13677.107999999998,0.9807692307692307,81
14295681708,4532,14621.394999999999,0.9903846153846154,81
14295681708,4532,14902.036999999998,1.0,82
