phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:18:20Z,2026-01-17T00:23:01Z,281,31815561984,31815.6,0.00883766,113.223,0,1
tests,2026-01-17T00:23:05Z,2026-01-17T00:31:53Z,528,36093466988,36093.5,0.010026,68.3588,0,1
