phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:21:06Z,2026-01-17T00:25:45Z,279,29820422622,29820.4,0.00828345,106.883,0,1
tests,2026-01-17T00:25:48Z,2026-01-17T00:34:11Z,503,33489668904,33489.7,0.00930269,66.5799,0,1
