phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:17:26Z,2026-01-17T00:22:06Z,280,31002991311,31003,0.00861194,110.725,0,1
tests,2026-01-17T00:22:10Z,2026-01-17T00:34:06Z,716,50646261703,50646.3,0.0140684,70.735,0,1
