phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:16:05Z,2026-01-17T00:21:22Z,317,30173384426,30173.4,0.0083815,95.1842,0,1
tests,2026-01-17T00:21:25Z,2026-01-17T00:37:42Z,977,57367105398,57367.1,0.0159353,58.7176,0,1
