phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:20:05Z,2026-01-17T00:24:43Z,278,30608350169,30608.4,0.00850232,110.102,0,1
tests,2026-01-17T00:24:45Z,2026-01-17T00:39:44Z,899,61151773444,61151.8,0.0169866,68.022,0,1
