phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-17T00:19:06Z,2026-01-17T00:23:43Z,277,29913454060,29913.5,0.00830929,107.991,0,1
tests,2026-01-17T00:23:46Z,2026-01-17T00:36:00Z,734,49343049401,49343,0.0137064,67.2249,0,1
