run_id,pr_number,energy_j,change_cov,suite_size
16072510241,4649,142000000006705.53,0.8264150943396227,192
16072510241,4649,146000000006585.1,0.8452830188679246,196
16072510241,4649,149000000005500.88,0.8490566037735849,190
16072510241,4649,149000000005544.38,0.8603773584905661,191
16072510241,4649,152000000005926.94,0.909433962264151,199
16072510241,4649,153000000005959.8,0.9132075471698113,197
16072510241,4649,156000000005375.8,0.9320754716981132,199
16072510241,4649,161000000006093.5,0.939622641509434,208
16072510241,4649,161000000006481.53,0.9433962264150944,209
16072510241,4649,162000000005732.16,0.9547169811320755,208
16072510241,4649,167000000005962.8,0.9622641509433962,213
16072510241,4649,173000000005877.3,0.9660377358490566,220
16072510241,4649,174000000006343.1,0.969811320754717,221
16072510241,4649,179000000005783.7,0.9735849056603774,225
16072510241,4649,183000000005767.0,0.9773584905660377,229
