run_id,pr_number,changed_lines_mapped,coverable_changed_lines,max_change_cov,pareto_points,status,energy_j_at_80pct,suite_size_at_80pct,energy_j_at_90pct,suite_size_at_90pct,energy_j_at_95pct,suite_size_at_95pct,time_s_at_80pct,time_s_at_90pct,time_s_at_95pct,energy_frac_of_full_at_80pct,energy_savings_pct_at_80pct,energy_frac_of_full_at_90pct,energy_savings_pct_at_90pct,energy_frac_of_full_at_95pct,energy_savings_pct_at_95pct,suite_frac_of_full_at_80pct,suite_frac_of_full_at_90pct,suite_frac_of_full_at_95pct,delta_energy_80_to_90_j,delta_energy_90_to_95_j,delta_suite_80_to_90,delta_suite_90_to_95
16544265191,4663,1,1,1.0,1,ok,5977.236,46.0,5977.236,46.0,5977.236,46.0,,,,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.07504078303425775,0.07504078303425775,0.07504078303425775,0.0,0.0,0.0,0.0
16543986695,4663,1,1,1.0,1,ok,5977.236,46.0,5977.236,46.0,5977.236,46.0,,,,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.07504078303425775,0.07504078303425775,0.07504078303425775,0.0,0.0,0.0,0.0
16541949452,4640,53,53,1.0,2,ok,9961.285,81.0,10119.885000000002,82.0,10119.885000000002,82.0,,,,0.05281691074334262,94.71830892566574,0.05365784261547501,94.6342157384525,0.05365784261547501,94.6342157384525,0.13213703099510604,0.13376835236541598,0.13376835236541598,158.60000000000218,0.0,1.0,0.0
16535571417,4663,1,1,1.0,1,ok,5977.236,46.0,5977.236,46.0,5977.236,46.0,,,,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.07504078303425775,0.07504078303425775,0.07504078303425775,0.0,0.0,0.0,0.0
16532667131,4669,6,6,1.0,1,ok,7688.629000000001,47.0,7688.629000000001,47.0,7688.629000000001,47.0,,,,0.04076679179761202,95.9233208202388,0.04076679179761202,95.9233208202388,0.04076679179761202,95.9233208202388,0.0766721044045677,0.0766721044045677,0.0766721044045677,0.0,0.0,0.0,0.0
16532316587,4669,6,6,1.0,1,ok,7688.629000000001,47.0,7688.629000000001,47.0,7688.629000000001,47.0,,,,0.04076679179761202,95.9233208202388,0.04076679179761202,95.9233208202388,0.04076679179761202,95.9233208202388,0.0766721044045677,0.0766721044045677,0.0766721044045677,0.0,0.0,0.0,0.0
16515324293,4663,1,1,1.0,1,ok,5977.236,46.0,5977.236,46.0,5977.236,46.0,,,,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.03169261197766094,96.83073880223391,0.07504078303425775,0.07504078303425775,0.07504078303425775,0.0,0.0,0.0,0.0
16506748326,4608,3,3,1.0,2,ok,1000000004499.1248,38.0,1000000004499.1248,38.0,1000000004499.1248,38.0,,,,5302218.637552534,-530221763.75525343,5302218.637552534,-530221763.75525343,5302218.637552534,-530221763.75525343,0.06199021207177814,0.06199021207177814,0.06199021207177814,0.0,0.0,0.0,0.0
16502014799,4608,3,3,1.0,2,ok,1000000004499.1248,38.0,1000000004499.1248,38.0,1000000004499.1248,38.0,,,,5302218.637552534,-530221763.75525343,5302218.637552534,-530221763.75525343,5302218.637552534,-530221763.75525343,0.06199021207177814,0.06199021207177814,0.06199021207177814,0.0,0.0,0.0,0.0
16489376615,4667,22,22,1.0,2,ok,9919.309,57.0,9919.309,57.0,9919.309,57.0,,,,0.052594344814814065,94.7405655185186,0.052594344814814065,94.7405655185186,0.052594344814814065,94.7405655185186,0.0929853181076672,0.0929853181076672,0.0929853181076672,0.0,0.0,0.0,0.0
