run_id,pr_number,changed_lines_mapped,status,coverable_changed_lines,random_energy_to_80cov_J,random_energy_to_90cov_J,random_energy_to_95cov_J,random_energy_to_100cov_J,greedy_cov_per_second_energy_to_80cov_J,greedy_cov_per_second_energy_to_90cov_J,greedy_cov_per_second_energy_to_95cov_J,greedy_cov_per_second_energy_to_100cov_J,greedy_cov_per_joule_energy_to_80cov_J,greedy_cov_per_joule_energy_to_90cov_J,greedy_cov_per_joule_energy_to_95cov_J,greedy_cov_per_joule_energy_to_100cov_J
16237202730,4656,20,ok,20,137367.74830000004,144857.11966666672,148117.3088666667,158528.75753333338,1267.792,1378.877,1499.24,2616.005,1499.24,1499.24,1499.24,2616.005
16237177563,4655,0,skip_no_changed_lines,0,,,,,,,,,,,,
16232540864,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
16232527565,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16231776136,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16231500569,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16231119773,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
16230287345,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16228821042,4601,0,skip_no_changed_lines,0,,,,,,,,,,,,
16228099436,4608,3,ok,3,,,,,,,,,,,,
16226974162,4608,3,ok,3,,,,,,,,,,,,
16226112244,154,0,skip_no_changed_lines,0,,,,,,,,,,,,
16224112175,3261,67,ok,67,80397.3412,121510.30500000002,141123.97926666672,167391.26826666668,351.69,733.618,956.771,1435.894,351.69,848.077,956.764,1435.887
16223147294,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16221533591,4642,18,ok,18,103587.35813333336,103587.35813333336,103587.35813333336,103587.35813333336,120.291,120.291,120.291,120.291,120.291,120.291,120.291,120.291
16218592452,4653,19,ok,19,125432.56630000002,126238.59583333335,137058.5504666667,137058.5504666667,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002,1252.8200000000002,1252.8200000000002,1389.5680000000002,1389.5680000000002
16218148426,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
16217315191,4615,1,ok,1,318.6656666666667,318.6656666666667,318.6656666666667,318.6656666666667,108.549,108.549,108.549,108.549,108.448,108.448,108.448,108.448
