phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:14:53Z,2026-01-13T02:14:56Z,3,146646048,146.646,0.040735,48.882,0,1
analyze,2026-01-13T02:14:56Z,2026-01-13T02:15:00Z,4,274438262,274.438,0.0762329,68.6096,0,1
run,2026-01-13T02:15:00Z,2026-01-13T02:48:55Z,2035,112402490080,112402,31.2229,55.2346,0,1
