phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:15:41Z,2026-01-13T02:15:45Z,4,162321606,162.322,0.0450893,40.5804,0,1
analyze,2026-01-13T02:15:45Z,2026-01-13T02:15:54Z,9,439349950,439.35,0.122042,48.8167,0,1
run,2026-01-13T02:15:54Z,2026-01-13T03:22:28Z,3994,228873860188,228874,63.5761,57.3044,0,1
