phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:14:48Z,2026-01-13T02:14:50Z,2,140178353,140.178,0.0389384,70.0892,0,1
analyze,2026-01-13T02:14:50Z,2026-01-13T02:14:54Z,4,285517396,285.517,0.0793104,71.3793,0,1
run,2026-01-13T02:14:54Z,2026-01-13T02:43:55Z,1741,106746453963,106746,29.6518,61.3133,0,1
