label,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,rc
build_idx_1,2026-01-13T00:14:05Z,2026-01-13T00:17:42Z,217,22740552868,22740.6,6.31682,0
analyze_idx_1,2026-01-13T00:17:42Z,2026-01-13T00:17:51Z,9,454476498,454.476,0.126243,0
run_idx_1,2026-01-13T00:17:51Z,2026-01-13T00:17:53Z,2,72954890,72.9549,0.0202652,1
build_idx_1,2026-01-13T00:34:59Z,2026-01-13T00:35:03Z,4,181187402,181.187,0.0503298,0
analyze_idx_1,2026-01-13T00:35:03Z,2026-01-13T00:35:13Z,10,441438628,441.439,0.122622,0
