phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:14:42Z,2026-01-13T02:14:44Z,2,186623728,186.624,0.0518399,93.3119,0,1
analyze,2026-01-13T02:14:44Z,2026-01-13T02:14:48Z,4,369368926,369.369,0.102602,92.3422,0,1
run,2026-01-13T02:14:48Z,2026-01-13T02:30:42Z,954,87650378948,87650.4,24.3473,91.8767,0,1
