phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:14:51Z,2026-01-13T02:14:53Z,2,129052709,129.053,0.035848,64.5264,0,1
analyze,2026-01-13T02:14:53Z,2026-01-13T02:14:58Z,5,281635631,281.636,0.0782321,56.3271,0,1
run,2026-01-13T02:14:58Z,2026-01-13T02:40:06Z,1508,81056732008,81056.7,22.5158,53.7511,0,1
