phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:15:49Z,2026-01-13T02:15:54Z,5,183142842,183.143,0.050873,36.6286,0,1
analyze,2026-01-13T02:15:54Z,2026-01-13T02:16:03Z,9,422640398,422.64,0.1174,46.96,0,1
run,2026-01-13T02:16:03Z,2026-01-13T03:23:44Z,4061,230202521886,230203,63.9451,56.6862,0,1
