label,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,rc
build_idx_5,2026-01-13T00:13:50Z,2026-01-13T00:17:21Z,211,20847975559,20848,5.7911,0
analyze_idx_5,2026-01-13T00:17:21Z,2026-01-13T00:17:25Z,4,264945732,264.946,0.073596,0
run_idx_5,2026-01-13T00:17:25Z,2026-01-13T00:17:26Z,1,53775069,53.7751,0.0149375,1
build_idx_5,2026-01-13T00:34:38Z,2026-01-13T00:34:40Z,2,194297293,194.297,0.0539715,0
analyze_idx_5,2026-01-13T00:34:40Z,2026-01-13T00:34:44Z,4,349560934,349.561,0.0971003,0
run_idx_5,2026-01-13T00:34:44Z,2026-01-13T00:56:41Z,1317,-144087652436,-144088,-40.0243,0
