label,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,rc
build_idx_4,2026-01-13T00:13:50Z,2026-01-13T00:17:20Z,210,21452164748,21452.2,5.95893,0
analyze_idx_4,2026-01-13T00:17:20Z,2026-01-13T00:17:25Z,5,270469461,270.469,0.0751304,0
run_idx_4,2026-01-13T00:17:25Z,2026-01-13T00:17:26Z,1,55200420,55.2004,0.0153335,1
build_idx_4,2026-01-13T00:34:48Z,2026-01-13T00:34:50Z,2,140215156,140.215,0.0389487,0
analyze_idx_4,2026-01-13T00:34:50Z,2026-01-13T00:34:54Z,4,267516222,267.516,0.0743101,0
