phase,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,avg_power_w,rc,valid_energy
build,2026-01-13T02:15:02Z,2026-01-13T02:15:05Z,3,110690268,110.69,0.0307473,36.8968,0,1
analyze,2026-01-13T02:15:05Z,2026-01-13T02:15:09Z,4,233753490,233.753,0.0649315,58.4384,0,1
run,2026-01-13T02:15:09Z,2026-01-13T03:23:18Z,4089,182584400137,182584,50.7179,44.6526,0,1
