label,start_iso,end_iso,wall_s,energy_uj,energy_j,energy_kwh,rc
build_idx_0,2026-01-13T00:13:24Z,2026-01-13T00:17:20Z,236,20793257437,20793.3,5.7759,0
analyze_idx_0,2026-01-13T00:17:20Z,2026-01-13T00:17:25Z,5,226349336,226.349,0.0628748,0
run_idx_0,2026-01-13T00:17:25Z,2026-01-13T00:17:26Z,1,45366277,45.3663,0.0126017,1
build_idx_0,2026-01-13T00:34:51Z,2026-01-13T00:34:54Z,3,124741197,124.741,0.0346503,0
analyze_idx_0,2026-01-13T00:34:54Z,2026-01-13T00:34:58Z,4,219592150,219.592,0.0609978,0
