run_id,pr_number,energy_j,change_cov,suite_size
13080661297,4456,24774.33,0.8905908096280087,168
13080661297,4456,24957.25,0.8971553610503282,170
13080661297,4456,25084.436999999998,0.9015317286652079,170
13080661297,4456,25401.242,0.9037199124726477,172
13080661297,4456,25549.289,0.912472647702407,171
13080661297,4456,25944.517,0.9146608315098468,172
13080661297,4456,26491.385000000002,0.9190371991247265,172
13080661297,4456,27038.964,0.9234135667396062,177
13080661297,4456,27494.754,0.925601750547046,179
13080661297,4456,28127.222999999998,0.9277899343544858,179
13080661297,4456,28365.841,0.9299781181619255,179
13080661297,4456,28540.187,0.9321663019693655,183
13080661297,4456,28586.476000000002,0.9343544857768052,180
13080661297,4456,29209.699999999997,0.936542669584245,180
13080661297,4456,29315.424,0.9409190371991247,176
13080661297,4456,29875.253,0.9431072210065645,182
13080661297,4456,30337.006,0.9474835886214442,179
13080661297,4456,31339.818999999996,0.9518599562363238,184
13080661297,4456,32297.426,0.9540481400437637,184
13080661297,4456,32427.984,0.9562363238512035,188
13080661297,4456,32865.168999999994,0.9584245076586433,189
13080661297,4456,33467.645,0.9606126914660832,189
13080661297,4456,33529.316,0.962800875273523,188
13080661297,4456,34417.936,0.9671772428884027,187
13080661297,4456,35167.894,0.9693654266958425,191
13080661297,4456,35364.97,0.9715536105032823,189
13080661297,4456,36238.18,0.973741794310722,186
13080661297,4456,36456.886,0.975929978118162,187
13080661297,4456,37513.431,0.9781181619256017,191
13080661297,4456,38243.765,0.9803063457330415,192
13080661297,4456,38487.954,0.9824945295404814,189
13080661297,4456,39452.085999999996,0.9846827133479212,193
13080661297,4456,39868.114,0.986870897155361,191
13080661297,4456,41129.522,0.9890590809628009,197
13080661297,4456,42159.44499999999,0.9912472647702407,200
13080661297,4456,42925.818999999996,0.9934354485776805,198
